CHP_Cap HP_Cap PV_Cap Boiler_Cap AnnualPV AnnualCHPelec AnnualCHPheat AnnualHPheat AnnualHPelec AnnualBiolerHeat AnnualImport AnnualExport OilConsumption BiomassConsumption DieselCost PetrolCost BiomassCost TotalElectricityExchangeCost TotalVariableCost FixedOperationCosts AdditionalCost InvestmentCost CO2-Emission AnnualCost LoadFollowingCapacity 
KW KW KW KW GWh GWh GWh GWh GWh GWh KEuro KEuro GWh GWh KEuro KEuro KEuro KEuro KEuro KEuro KEuro KEuro Mt KEuro  
5999 5647 9354 7623.0 11.45 11.65 14.56 27.46 8.86 13.75 0.34 9.13 35.99 46.31 3217.0 2761.0 2501.0 -447.0 8123.0 903.0 3101.0 2648.1925007111076 4.403 14731.192500711108 0.34675942878066646 
5287 2908 6131 7025.0 7.50 12.23 15.29 27.43 8.85 13.06 0.37 5.80 35.99 46.90 3217.0 2761.0 2532.0 -269.0 8334.0 793.0 3100.0 1238.1925007111076 6.329 13418.192500711108 0.22592456975466862 
5004 3786 13771 8086.0 16.85 11.14 13.92 27.49 8.87 14.36 0.33 14.00 35.99 45.80 3217.0 2761.0 2473.0 -637.0 7904.0 984.0 3102.0 3355.1925007111076 1.599 15303.192500711108 0.5247162211644086 
5611 1255 13341 12281.0 16.33 9.29 11.61 21.16 6.82 23.01 0.33 13.66 35.99 51.99 3217.0 2761.0 2807.0 -630.0 8240.0 971.0 2928.0 2821.1925007111076 1.790 14937.192500711108 0.5122665690223361 
5232 1150 10630 12607.0 13.01 9.19 11.49 19.81 6.39 24.47 0.34 10.69 35.99 53.57 3217.0 2761.0 2893.0 -521.0 8435.0 895.0 2890.0 2094.1925007111076 3.501 14292.192500711108 0.40388136213841086 
4928 918 13689 13326.0 16.75 8.05 10.06 16.43 5.30 29.28 0.32 14.37 35.99 56.73 3217.0 2761.0 3063.0 -660.0 8464.0 965.0 2796.0 2818.1925007111076 1.383 15024.192500711108 0.5378982057854266 
4544 910 15000 13351.0 18.36 7.93 9.91 16.31 5.26 29.56 0.32 15.89 35.99 56.77 3217.0 2761.0 3066.0 -706.0 8420.0 990.0 2793.0 3130.1925007111076 0.509 15314.192500711108 0.5935554741852802 
5493 5981 15000 8086.0 18.36 11.03 13.79 27.49 8.87 14.49 0.32 15.39 35.99 45.70 3217.0 2761.0 2468.0 -678.0 7857.0 1036.0 3102.0 4130.192500711108 0.797 16083.192500711108 0.5752471622116442 
1118 1664 5328 10888.0 6.52 5.43 6.78 25.20 8.13 23.80 6.66 5.02 35.99 43.32 3217.0 2761.0 2339.0 211.0 8603.0 686.0 3039.0 605.1925007111076 10.382 12903.192500711108 0.4276821677041377 
5487 5624 14940 8086.0 18.28 11.04 13.80 27.49 8.87 14.49 0.32 15.32 35.99 45.71 3217.0 2761.0 2468.0 -676.0 7859.0 1033.0 3102.0 4044.1925007111076 0.836 15996.192500711108 0.5726839985353351 
1515 1579 5329 10656.0 6.52 6.85 8.56 24.52 7.91 22.70 5.02 5.03 35.99 45.50 3217.0 2761.0 2457.0 103.0 8617.0 693.0 3020.0 607.1925007111076 9.441 12906.192500711108 0.36799707067008425 
1128 1579 5329 11139.0 6.52 5.46 6.82 24.52 7.91 24.44 6.41 5.03 35.99 44.19 3217.0 2761.0 2386.0 195.0 8635.0 686.0 3020.0 592.1925007111076 10.239 12904.192500711108 0.41889417795679246 
4469 2021 6268 8982.0 7.67 12.02 15.02 27.01 8.71 13.75 0.41 5.93 35.99 47.23 3217.0 2761.0 2550.0 -273.0 8347.0 776.0 3089.0 1075.1925007111076 6.276 13249.192500711108 0.23214939582570487 
1806 1636 5328 10115.0 6.52 7.82 9.78 24.98 8.06 21.02 4.19 5.02 35.99 45.83 3217.0 2761.0 2475.0 48.0 8582.0 699.0 3033.0 628.1925007111076 8.968 12909.192500711108 0.3372391065543757 
5129 5637 12696 8086.0 15.54 11.25 14.06 27.48 8.87 14.23 0.33 12.80 35.99 45.91 3217.0 2761.0 2479.0 -598.0 7949.0 969.0 3102.0 3456.1925007111076 2.291 15434.192500711108 0.4807762724276822 
4791 1116 10028 12712.0 12.27 9.14 11.42 19.36 6.24 25.00 0.34 10.05 35.99 54.09 3217.0 2761.0 2921.0 -493.0 8491.0 872.0 2877.0 1911.1925007111076 3.870 14129.192500711108 0.38044672281215675 
5910 5093 14755 8086.0 18.06 11.05 13.82 27.49 8.87 14.47 0.32 15.11 35.99 45.72 3217.0 2761.0 2469.0 -670.0 7866.0 1033.0 3102.0 3914.1925007111076 0.957 15873.192500711108 0.5649945075064079 
5316 5031 13487 8086.0 16.51 11.17 13.96 27.49 8.87 14.33 0.33 13.68 35.99 45.84 3217.0 2761.0 2475.0 -627.0 7915.0 990.0 3103.0 3547.1925007111076 1.780 15513.192500711108 0.5129989015012816 
